Type,Date,Price
NaturalGas, 2022-03-20,1.87999999999999989341858963598497211933135986328125
NaturalGas, 2022-03-21,1.87000000000000010658141036401502788066864013671875
NaturalGas, 2022-03-24,1.8000000000000000444089209850062616169452667236328125
NaturalGas, 2022-03-25,1.850000000000000088817841970012523233890533447265625
NaturalGas, 2022-03-26,1.850000000000000088817841970012523233890533447265625
NaturalGas, 2022-03-27,1.8400000000000000799360577730112709105014801025390625
NaturalGas, 2022-03-31,1.8400000000000000799360577730112709105014801025390625
NaturalGas, 2022-04-01,1.9499999999999999555910790149937383830547332763671875
NaturalGas, 2022-04-02,1.850000000000000088817841970012523233890533447265625
NaturalGas, 2022-04-03,1.87000000000000010658141036401502788066864013671875
NaturalGas, 2022-04-04,1.9099999999999999200639422269887290894985198974609375
NaturalGas, 2022-04-07,1.9899999999999999911182158029987476766109466552734375
NaturalGas, 2022-04-08,2.0099999999999997868371792719699442386627197265625
NaturalGas, 2022-04-09,1.95999999999999996447286321199499070644378662109375
NaturalGas, 2022-04-10,1.9699999999999999733546474089962430298328399658203125
NaturalGas, 2022-04-11,1.979999999999999982236431605997495353221893310546875
NaturalGas, 2022-04-14,2
NaturalGas, 2022-04-15,2
NaturalGas, 2022-04-16,2.020000000000000017763568394002504646778106689453125
NaturalGas, 2022-04-17,2.0800000000000000710542735760100185871124267578125
NaturalGas, 2022-04-18,2.100000000000000088817841970012523233890533447265625
NaturalGas, 2022-04-21,2.089999999999999857891452847979962825775146484375
NaturalGas, 2022-04-22,2.100000000000000088817841970012523233890533447265625
NaturalGas, 2022-04-23,2.220000000000000195399252334027551114559173583984375
NaturalGas, 2022-04-24,2.109999999999999875655021241982467472553253173828125
NaturalGas, 2022-04-25,2.160000000000000142108547152020037174224853515625
NaturalGas, 2022-04-28,2.100000000000000088817841970012523233890533447265625
NaturalGas, 2022-04-29,2.089999999999999857891452847979962825775146484375
NaturalGas, 2022-04-30,2.160000000000000142108547152020037174224853515625
NaturalGas, 2022-05-01,2.189999999999999946709294817992486059665679931640625
NaturalGas, 2022-05-02,2.20999999999999996447286321199499070644378662109375
NaturalGas, 2022-05-05,2.229999999999999982236431605997495353221893310546875
NaturalGas, 2022-05-06,2.25
NaturalGas, 2022-05-07,2.339999999999999857891452847979962825775146484375
NaturalGas, 2022-05-08,2.3300000000000000710542735760100185871124267578125
NaturalGas, 2022-05-09,2.29999999999999982236431605997495353221893310546875
NaturalGas, 2022-05-12,2.270000000000000017763568394002504646778106689453125
NaturalGas, 2022-05-13,2.180000000000000159872115546022541821002960205078125
NaturalGas, 2022-05-14,2.220000000000000195399252334027551114559173583984375
NaturalGas, 2022-05-15,2.25
NaturalGas, 2022-05-16,2.189999999999999946709294817992486059665679931640625
NaturalGas, 2022-05-19,2.25
NaturalGas, 2022-05-20,2.220000000000000195399252334027551114559173583984375
NaturalGas, 2022-05-21,2.20999999999999996447286321199499070644378662109375
NaturalGas, 2022-05-22,2.220000000000000195399252334027551114559173583984375
NaturalGas, 2022-05-23,2.20000000000000017763568394002504646778106689453125
NaturalGas, 2022-05-27,2.29000000000000003552713678800500929355621337890625
NaturalGas, 2022-05-28,2.339999999999999857891452847979962825775146484375
NaturalGas, 2022-05-29,2.29000000000000003552713678800500929355621337890625
NaturalGas, 2022-05-30,2.229999999999999982236431605997495353221893310546875
NaturalGas, 2022-06-02,2.20000000000000017763568394002504646778106689453125
NaturalGas, 2022-06-03,2.109999999999999875655021241982467472553253173828125
NaturalGas, 2022-06-04,2.189999999999999946709294817992486059665679931640625
NaturalGas, 2022-06-05,2.180000000000000159872115546022541821002960205078125
NaturalGas, 2022-06-06,2.189999999999999946709294817992486059665679931640625
NaturalGas, 2022-06-09,2.189999999999999946709294817992486059665679931640625
NaturalGas, 2022-06-10,2.160000000000000142108547152020037174224853515625
NaturalGas, 2022-06-11,2.160000000000000142108547152020037174224853515625
NaturalGas, 2022-06-12,2.140000000000000124344978758017532527446746826171875
NaturalGas, 2022-06-13,2.149999999999999911182158029987476766109466552734375
NaturalGas, 2022-06-16,2.20000000000000017763568394002504646778106689453125
NaturalGas, 2022-06-17,2.20000000000000017763568394002504646778106689453125
NaturalGas, 2022-06-18,2.220000000000000195399252334027551114559173583984375
NaturalGas, 2022-06-19,2.229999999999999982236431605997495353221893310546875
NaturalGas, 2022-06-20,2.25
NaturalGas, 2022-06-23,2.29000000000000003552713678800500929355621337890625
NaturalGas, 2022-06-24,2.319999999999999840127884453977458178997039794921875
NaturalGas, 2022-06-25,2.319999999999999840127884453977458178997039794921875
NaturalGas, 2022-06-26,2.229999999999999982236431605997495353221893310546875
NaturalGas, 2022-06-27,2.1699999999999999289457264239899814128875732421875
NaturalGas, 2022-06-30,2.1699999999999999289457264239899814128875732421875
NaturalGas, 2022-07-01,2.160000000000000142108547152020037174224853515625
NaturalGas, 2022-07-02,2.140000000000000124344978758017532527446746826171875
NaturalGas, 2022-07-03,2.109999999999999875655021241982467472553253173828125
NaturalGas, 2022-07-07,2.12999999999999989341858963598497211933135986328125
NaturalGas, 2022-07-08,2.12999999999999989341858963598497211933135986328125
NaturalGas, 2022-07-09,2.160000000000000142108547152020037174224853515625
NaturalGas, 2022-07-10,2.149999999999999911182158029987476766109466552734375
NaturalGas, 2022-07-11,2.160000000000000142108547152020037174224853515625
NaturalGas, 2022-07-14,2.180000000000000159872115546022541821002960205078125
NaturalGas, 2022-07-15,2.20999999999999996447286321199499070644378662109375
NaturalGas, 2022-07-16,2.2400000000000002131628207280300557613372802734375
NaturalGas, 2022-07-17,2.29000000000000003552713678800500929355621337890625
NaturalGas, 2022-07-18,2.2599999999999997868371792719699442386627197265625
NaturalGas, 2022-07-21,2.1699999999999999289457264239899814128875732421875
NaturalGas, 2022-07-22,2.180000000000000159872115546022541821002960205078125
NaturalGas, 2022-07-23,2.20000000000000017763568394002504646778106689453125
NaturalGas, 2022-07-24,2.2400000000000002131628207280300557613372802734375
NaturalGas, 2022-07-25,2.220000000000000195399252334027551114559173583984375
NaturalGas, 2022-07-28,2.189999999999999946709294817992486059665679931640625
NaturalGas, 2022-07-29,2.229999999999999982236431605997495353221893310546875
NaturalGas, 2022-07-30,2.189999999999999946709294817992486059665679931640625
NaturalGas, 2022-07-31,2.229999999999999982236431605997495353221893310546875
NaturalGas, 2022-08-01,2.2400000000000002131628207280300557613372802734375
NaturalGas, 2022-08-04,2.2599999999999997868371792719699442386627197265625
NaturalGas, 2022-08-05,2.3300000000000000710542735760100185871124267578125
NaturalGas, 2022-08-06,2.37999999999999989341858963598497211933135986328125
NaturalGas, 2022-08-07,2.5
NaturalGas, 2022-08-08,2.37999999999999989341858963598497211933135986328125
NaturalGas, 2022-08-11,2.529999999999999804600747665972448885440826416015625
NaturalGas, 2022-08-12,2.560000000000000053290705182007513940334320068359375
NaturalGas, 2022-08-13,2.45000000000000017763568394002504646778106689453125
NaturalGas, 2022-08-14,2.569999999999999840127884453977458178997039794921875
NaturalGas, 2022-08-15,2.529999999999999804600747665972448885440826416015625
NaturalGas, 2022-08-18,2.560000000000000053290705182007513940334320068359375
NaturalGas, 2022-08-19,2.609999999999999875655021241982467472553253173828125
NaturalGas, 2022-08-20,2.62000000000000010658141036401502788066864013671875
NaturalGas, 2022-08-21,2.45000000000000017763568394002504646778106689453125
NaturalGas, 2022-08-22,2.470000000000000195399252334027551114559173583984375
NaturalGas, 2022-08-25,2.529999999999999804600747665972448885440826416015625
NaturalGas, 2022-08-26,2.5800000000000000710542735760100185871124267578125
NaturalGas, 2022-08-27,2.5099999999999997868371792719699442386627197265625
NaturalGas, 2022-08-28,2.569999999999999840127884453977458178997039794921875
NaturalGas, 2022-08-29,2.689999999999999946709294817992486059665679931640625
NaturalGas, 2022-09-02,2.819999999999999840127884453977458178997039794921875
NaturalGas, 2022-09-03,2.859999999999999875655021241982467472553253173828125
NaturalGas, 2022-09-04,2.729999999999999982236431605997495353221893310546875
NaturalGas, 2022-09-05,2.6699999999999999289457264239899814128875732421875
NaturalGas, 2022-09-08,2.6699999999999999289457264239899814128875732421875
NaturalGas, 2022-09-09,2.7400000000000002131628207280300557613372802734375
NaturalGas, 2022-09-10,2.7400000000000002131628207280300557613372802734375
NaturalGas, 2022-09-11,2.779999999999999804600747665972448885440826416015625
NaturalGas, 2022-09-12,2.859999999999999875655021241982467472553253173828125
NaturalGas, 2022-09-15,2.87999999999999989341858963598497211933135986328125
NaturalGas, 2022-09-16,2.8300000000000000710542735760100185871124267578125
NaturalGas, 2022-09-17,2.75
NaturalGas, 2022-09-18,2.839999999999999857891452847979962825775146484375
NaturalGas, 2022-09-19,2.939999999999999946709294817992486059665679931640625
NaturalGas, 2022-09-22,2.979999999999999982236431605997495353221893310546875
NaturalGas, 2022-09-23,3.089999999999999857891452847979962825775146484375
NaturalGas, 2022-09-24,3.029999999999999804600747665972448885440826416015625
NaturalGas, 2022-09-25,3.04999999999999982236431605997495353221893310546875
NaturalGas, 2022-09-26,3.2400000000000002131628207280300557613372802734375
NaturalGas, 2022-09-29,3.089999999999999857891452847979962825775146484375
NaturalGas, 2022-09-30,2.95999999999999996447286321199499070644378662109375
NaturalGas, 2022-10-01,3.0800000000000000710542735760100185871124267578125
